t,x,pos_flag,neg_flag,Total positive time,Percent Positive,Total negative time,Percent Negative
0,0,0,0,4963,49.63,5037,50.37
0.01,0.4725,1,0,,,,
0.02,0.905878297,1,0,,,,
0.03,1.312871722,1,0,,,,
0.04,1.704442189,1,0,,,,
0.05,2.090143031,1,0,,,,
0.06,2.478420539,1,0,,,,
0.07,2.876858458,1,0,,,,
0.08,3.292371277,1,0,,,,
0.09,3.731349862,1,0,,,,
0.1,4.199760584,1,0,,,,
0.11,4.703196374,1,0,,,,
0.12,5.246875286,1,0,,,,
0.13,5.835578979,1,0,,,,
0.14,6.473520391,1,0,,,,
0.15,7.164126876,1,0,,,,
0.16,7.909723042,1,0,,,,
0.17,8.71109743,1,0,,,,
0.18,9.566940878,1,0,,,,
0.19,10.47315452,1,0,,,,
0.2,11.42204508,1,0,,,,
0.21,12.40145799,1,0,,,,
0.22,13.39394685,1,0,,,,
0.23,14.37613935,1,0,,,,
0.24,15.31852439,1,0,,,,
0.25,16.1859315,1,0,,,,
0.26,16.93896663,1,0,,,,
0.27,17.53656738,1,0,,,,
0.28,17.93962066,1,0,,,,
0.29,18.11526613,1,0,,,,
0.3,18.04117794,1,0,,,,
0.31,17.70892047,1,0,,,,
0.32,17.12554825,1,0,,,,
0.33,16.31300172,1,0,,,,
0.34,15.30541948,1,0,,,,
0.35,14.14501537,1,0,,,,
0.36,12.87744749,1,0,,,,
0.37,11.54756253,1,0,,,,
0.38,10.19611621,1,0,,,,
0.39,8.857707832,1,0,,,,
0.4,7.559863148,1,0,,,,
0.41,6.323021033,1,0,,,,
0.42,5.161122511,1,0,,,,
0.43,4.082526578,1,0,,,,
0.44,3.091041975,1,0,,,,
0.45,2.186935422,1,0,,,,
0.46,1.367837452,1,0,,,,
0.47,0.629511186,1,0,,,,
0.48,-0.03352226,0,1,,,,
0.49,-0.627492011,0,1,,,,
0.5,-1.159002055,0,1,,,,
0.51,-1.63475279,0,1,,,,
0.52,-2.061340726,0,1,,,,
0.53,-2.445119687,0,1,,,,
0.54,-2.792109432,0,1,,,,
0.55,-3.107940149,0,1,,,,
0.56,-3.397823586,0,1,,,,
0.57,-3.666543467,0,1,,,,
0.58,-3.918459483,0,1,,,,
0.59,-4.157520351,0,1,,,,
0.6,-4.387282457,0,1,,,,
0.61,-4.610931396,0,1,,,,
0.62,-4.831304274,0,1,,,,
0.63,-5.050911161,0,1,,,,
0.64,-5.271954406,0,1,,,,
0.65,-5.496344828,0,1,,,,
0.66,-5.725714026,0,1,,,,
0.67,-5.961422218,0,1,,,,
0.68,-6.204561217,0,1,,,,
0.69,-6.455952278,0,1,,,,
0.7,-6.716138765,0,1,,,,
0.71,-6.985373742,0,1,,,,
0.72,-7.263602882,0,1,,,,
0.73,-7.550443349,0,1,,,,
