t,x,pos_flag,neg_flag,Total positive time,Percent Positive,Total negative time,Percent Negative
0,2,1,0,5480,54.79452055,4521,45.20547945
0.01,2.3045,1,0,,,,
0.02,2.623330833,1,0,,,,
0.03,2.961376759,1,0,,,,
0.04,3.323320687,1,0,,,,
0.05,3.713706241,1,0,,,,
0.06,4.136972029,1,0,,,,
0.07,4.597454731,1,0,,,,
0.08,5.099355474,1,0,,,,
0.09,5.646661514,1,0,,,,
0.1,6.243012666,1,0,,,,
0.11,6.891499356,1,0,,,,
0.12,7.594377135,1,0,,,,
0.13,8.352681852,1,0,,,,
0.14,9.165731724,1,0,,,,
0.15,10.03050948,1,0,,,,
0.16,10.9409322,1,0,,,,
0.17,11.88704171,1,0,,,,
0.18,12.85418675,1,0,,,,
0.19,13.8223204,1,0,,,,
0.2,14.76559568,1,0,,,,
0.21,15.65249554,1,0,,,,
0.22,16.44675267,1,0,,,,
0.23,17.10926435,1,0,,,,
0.24,17.60105685,1,0,,,,
0.25,17.88709701,1,0,,,,
0.26,17.94043642,1,0,,,,
0.27,17.74591589,1,0,,,,
0.28,17.30259193,1,0,,,,
0.29,16.62426004,1,0,,,,
0.3,15.73790454,1,0,,,,
0.31,14.6804364,1,0,,,,
0.32,13.49447431,1,0,,,,
0.33,12.22404301,1,0,,,,
0.34,10.91090895,1,0,,,,
0.35,9.591963534,1,0,,,,
0.36,8.297743219,1,0,,,,
0.37,7.051942178,1,0,,,,
0.38,5.871658442,1,0,,,,
0.39,4.768097325,1,0,,,,
0.4,3.74749788,1,0,,,,
0.41,2.812112378,1,0,,,,
0.42,1.96113165,1,0,,,,
0.43,1.191499507,1,0,,,,
0.44,0.498594571,1,0,,,,
0.45,-0.123220356,0,1,,,,
0.46,-0.680169497,0,1,,,,
0.47,-1.178738902,0,1,,,,
0.48,-1.62543685,0,1,,,,
0.49,-2.026622939,0,1,,,,
0.5,-2.388391104,0,1,,,,
0.51,-2.716494124,0,1,,,,
0.52,-3.016299479,0,1,,,,
0.53,-3.292768414,0,1,,,,
0.54,-3.550451749,0,1,,,,
0.55,-3.793497353,0,1,,,,
0.56,-4.025665288,0,1,,,,
0.57,-4.250347518,0,1,,,,
0.58,-4.47058973,0,1,,,,
0.59,-4.689113358,0,1,,,,
0.6,-4.90833631,0,1,,,,
0.61,-5.130391189,0,1,,,,
0.62,-5.357140079,0,1,,,,
0.63,-5.590185127,0,1,,,,
0.64,-5.83087432,0,1,,,,
0.65,-6.080302015,0,1,,,,
0.66,-6.339303882,0,1,,,,
0.67,-6.608446124,0,1,,,,
0.68,-6.888008976,0,1,,,,
0.69,-7.177964788,0,1,,,,
0.7,-7.477951261,0,1,,,,
0.71,-7.787240837,0,1,,,,
0.72,-8.104707738,0,1,,,,
0.73,-8.428794763,0,1,,,,
