Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction,pos_fraction + neg_fraction,p,sigma,B,x0,y0,z0,steps,dt
1,0.0,10000.010000171857,1.0,0.0,1.0,1,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
1,0.0,10000.010000171857,1.0,0.0,1.0,1,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
1,0.0,10000.010000171857,1.0,0.0,1.0,1,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
1,0.0,10000.010000171857,1.0,0.0,1.0,1,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
1,0.0,10000.010000171857,1.0,0.0,1.0,1,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
1,0.0,10000.010000171857,1.0,0.0,1.0,1,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
2,0.0,10000.010000171857,1.0,0.0,1.0,2,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
2,0.0,10000.010000171857,1.0,0.0,1.0,2,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
2,0.0,10000.010000171857,1.0,0.0,1.0,2,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
2,0.0,10000.010000171857,1.0,0.0,1.0,2,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
2,0.0,10000.010000171857,1.0,0.0,1.0,2,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
2,0.0,10000.010000171857,1.0,0.0,1.0,2,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
3,0.0,10000.010000171857,1.0,0.0,1.0,3,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
3,0.0,10000.010000171857,1.0,0.0,1.0,3,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
3,0.0,10000.010000171857,1.0,0.0,1.0,3,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
3,0.0,10000.010000171857,1.0,0.0,1.0,3,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
3,0.0,10000.010000171857,1.0,0.0,1.0,3,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
3,0.0,10000.010000171857,1.0,0.0,1.0,3,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
4,0.0,10000.010000171857,1.0,0.0,1.0,4,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
4,0.0,10000.010000171857,1.0,0.0,1.0,4,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
4,0.0,10000.010000171857,1.0,0.0,1.0,4,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
4,0.0,10000.010000171857,1.0,0.0,1.0,4,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
4,0.0,10000.010000171857,1.0,0.0,1.0,4,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
4,0.0,10000.010000171857,1.0,0.0,1.0,4,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
5,0.0,10000.010000171857,1.0,0.0,1.0,5,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
5,0.0,10000.010000171857,1.0,0.0,1.0,5,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
5,0.0,10000.010000171857,1.0,0.0,1.0,5,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
5,0.0,10000.010000171857,1.0,0.0,1.0,5,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
5,0.0,10000.010000171857,1.0,0.0,1.0,5,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
5,0.0,10000.010000171857,1.0,0.0,1.0,5,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
6,0.0,10000.010000171857,1.0,0.0,1.0,6,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
6,0.0,10000.010000171857,1.0,0.0,1.0,6,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
6,0.0,10000.010000171857,1.0,0.0,1.0,6,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
6,0.0,10000.010000171857,1.0,0.0,1.0,6,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
6,0.0,10000.010000171857,1.0,0.0,1.0,6,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
6,0.0,10000.010000171857,1.0,0.0,1.0,6,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
7,0.0,10000.010000171857,1.0,0.0,1.0,7,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
7,0.0,10000.010000171857,1.0,0.0,1.0,7,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
7,0.0,10000.010000171857,1.0,0.0,1.0,7,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
7,0.0,10000.010000171857,1.0,0.0,1.0,7,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
7,0.0,10000.010000171857,1.0,0.0,1.0,7,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
7,0.0,10000.010000171857,1.0,0.0,1.0,7,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
8,0.0,10000.010000171857,1.0,0.0,1.0,8,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
8,0.0,10000.010000171857,1.0,0.0,1.0,8,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
8,0.0,10000.010000171857,1.0,0.0,1.0,8,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
8,0.0,10000.010000171857,1.0,0.0,1.0,8,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
8,0.0,10000.010000171857,1.0,0.0,1.0,8,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
8,0.0,10000.010000171857,1.0,0.0,1.0,8,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
9,0.0,10000.010000171857,1.0,0.0,1.0,9,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
9,0.0,10000.010000171857,1.0,0.0,1.0,9,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
9,0.0,10000.010000171857,1.0,0.0,1.0,9,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
9,0.0,10000.010000171857,1.0,0.0,1.0,9,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
9,0.0,10000.010000171857,1.0,0.0,1.0,9,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
9,0.0,10000.010000171857,1.0,0.0,1.0,9,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
10,0.0,10000.010000171857,1.0,0.0,1.0,10,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
10,0.0,10000.010000171857,1.0,0.0,1.0,10,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
10,0.0,10000.010000171857,1.0,0.0,1.0,10,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
10,0.0,10000.010000171857,1.0,0.0,1.0,10,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
10,0.0,10000.010000171857,1.0,0.0,1.0,10,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
10,0.0,10000.010000171857,1.0,0.0,1.0,10,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
11,0.0,10000.010000171857,1.0,0.0,1.0,11,10,2.6666666666666665,1.0000001,0,0,1000000,0.01
11,0.0,10000.010000171857,1.0,0.0,1.0,11,10,2.6666666666666665,1.0000002,1e-06,1e-06,1000000,0.01
11,0.0,10000.010000171857,1.0,0.0,1.0,11,10,2.6666666666666665,1.0000003,2e-06,2e-06,1000000,0.01
11,0.0,10000.010000171857,1.0,0.0,1.0,11,10,2.6666666666666665,1.0000004,3e-06,3e-06,1000000,0.01
11,0.0,10000.010000171857,1.0,0.0,1.0,11,10,2.6666666666666665,1.0000005,4e-06,4e-06,1000000,0.01
11,0.0,10000.010000171857,1.0,0.0,1.0,11,10,2.6666666666666665,1.0000005,5e-06,5e-06,1000000,0.01
