Changing Variable,mean_neg_dwell_time,mean_pos_dwell_time,pos_time_fraction,neg_time_fraction,pos_fraction + neg_fraction,p,sigma,B,x0,y0,z0,steps,dt
10,1.723090338362513,1.764264295706601,0.5059904940094634,0.4940095059905366,1.0,28,10,2.6666666666666665,1,0,0,1000000,0.01
11,1.7560020625947743,1.681608800303767,0.48917951082044814,0.5108204891795519,1.0,28,11,2.6666666666666665,1,0,0,1000000,0.01
12,1.6828542164849825,1.730692832794315,0.5070924929075267,0.49290750709247333,1.0,28,12,2.6666666666666665,1,0,0,1000000,0.01
13,1.7199241641111231,1.7271664943417746,0.501050498949439,0.498949501050561,1.0,28,13,2.6666666666666665,1,0,0,1000000,0.01
14,1.7176605345660498,1.7527515614458942,0.5051424948575306,0.49485750514246934,1.0,28,14,2.6666666666666665,1,0,0,1000000,0.01
15,1.7420314136421606,1.7483734729797786,0.5009084990915991,0.49909150090840093,1.0,28,15,2.6666666666666665,1,0,0,1000000,0.01
16,1.7446298882980933,1.746993715113868,0.5003384996615134,0.49966150033848655,1.0,28,16,2.6666666666666665,1,0,0,1000000,0.01
17,1.7997751179127592,1.826696881829724,0.5038024961974835,0.4961975038025165,1.0,28,17,2.6666666666666665,1,0,0,1000000,0.01
18,1.907080699177703,1.8111040892501908,0.4871865128134159,0.5128134871865841,1.0,28,18,2.6666666666666665,1,0,0,1000000,0.01
19,9999.550000171857,0.46000000000000024,4.5999953999255486e-05,0.9999540000460009,1.0000000000000002,28,19,2.6666666666666665,1,0,0,1000000,0.01
20,9999.550000171857,0.46000000000000024,4.5999953999255486e-05,0.9999540000460009,1.0000000000000002,28,20,2.6666666666666665,1,0,0,1000000,0.01
21,9999.560000171856,0.45000000000000023,4.499995499927167e-05,0.9999550000450007,1.0,28,21,2.6666666666666665,1,0,0,1000000,0.01
22,9999.560000171856,0.45000000000000023,4.499995499927167e-05,0.9999550000450007,1.0,28,22,2.6666666666666665,1,0,0,1000000,0.01
23,9999.560000171856,0.45000000000000023,4.499995499927167e-05,0.9999550000450007,1.0,28,23,2.6666666666666665,1,0,0,1000000,0.01
24,9999.570000171856,0.4400000000000002,4.3999955999287854e-05,0.9999560000440006,0.9999999999999999,28,24,2.6666666666666665,1,0,0,1000000,0.01
25,9999.570000171856,0.4400000000000002,4.3999955999287854e-05,0.9999560000440006,0.9999999999999999,28,25,2.6666666666666665,1,0,0,1000000,0.01
26,9999.570000171856,0.4400000000000002,4.3999955999287854e-05,0.9999560000440006,0.9999999999999999,28,26,2.6666666666666665,1,0,0,1000000,0.01
27,9999.580000171856,0.4300000000000002,4.299995699930404e-05,0.9999570000430007,1.0,28,27,2.6666666666666665,1,0,0,1000000,0.01
28,9999.580000171856,0.4300000000000002,4.299995699930404e-05,0.9999570000430007,1.0,28,28,2.6666666666666665,1,0,0,1000000,0.01
29,9999.580000171856,0.4300000000000002,4.299995699930404e-05,0.9999570000430007,1.0,28,29,2.6666666666666665,1,0,0,1000000,0.01
30,9999.580000171856,0.4300000000000002,4.299995699930404e-05,0.9999570000430007,1.0,28,30,2.6666666666666665,1,0,0,1000000,0.01
31,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,31,2.6666666666666665,1,0,0,1000000,0.01
32,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,32,2.6666666666666665,1,0,0,1000000,0.01
33,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,33,2.6666666666666665,1,0,0,1000000,0.01
34,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,34,2.6666666666666665,1,0,0,1000000,0.01
35,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,35,2.6666666666666665,1,0,0,1000000,0.01
36,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,36,2.6666666666666665,1,0,0,1000000,0.01
37,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,37,2.6666666666666665,1,0,0,1000000,0.01
38,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,38,2.6666666666666665,1,0,0,1000000,0.01
39,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,39,2.6666666666666665,1,0,0,1000000,0.01
40,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,40,2.6666666666666665,1,0,0,1000000,0.01
41,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,41,2.6666666666666665,1,0,0,1000000,0.01
42,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,42,2.6666666666666665,1,0,0,1000000,0.01
43,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,43,2.6666666666666665,1,0,0,1000000,0.01
44,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,44,2.6666666666666665,1,0,0,1000000,0.01
45,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,45,2.6666666666666665,1,0,0,1000000,0.01
46,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,46,2.6666666666666665,1,0,0,1000000,0.01
47,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,47,2.6666666666666665,1,0,0,1000000,0.01
48,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,48,2.6666666666666665,1,0,0,1000000,0.01
49,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,49,2.6666666666666665,1,0,0,1000000,0.01
50,9999.590000171856,0.4200000000000002,4.199995799932022e-05,0.9999580000420006,1.0,28,50,2.6666666666666665,1,0,0,1000000,0.01
51,9999.580000171856,0.4300000000000002,4.299995699930404e-05,0.9999570000430007,1.0,28,51,2.6666666666666665,1,0,0,1000000,0.01
52,9999.580000171856,0.4300000000000002,4.299995699930404e-05,0.9999570000430007,1.0,28,52,2.6666666666666665,1,0,0,1000000,0.01
53,9999.580000171856,0.4300000000000002,4.299995699930404e-05,0.9999570000430007,1.0,28,53,2.6666666666666665,1,0,0,1000000,0.01
54,9999.570000171856,0.4400000000000002,4.3999955999287854e-05,0.9999560000440006,0.9999999999999999,28,54,2.6666666666666665,1,0,0,1000000,0.01
55,9999.570000171856,0.4400000000000002,4.3999955999287854e-05,0.9999560000440006,0.9999999999999999,28,55,2.6666666666666665,1,0,0,1000000,0.01
56,9999.560000171856,0.45000000000000023,4.499995499927167e-05,0.9999550000450007,1.0,28,56,2.6666666666666665,1,0,0,1000000,0.01
57,9999.550000171857,0.46000000000000024,4.5999953999255486e-05,0.9999540000460009,1.0000000000000002,28,57,2.6666666666666665,1,0,0,1000000,0.01
58,9999.540000171857,0.47000000000000025,4.69999529992393e-05,0.9999530000470008,1.0,28,58,2.6666666666666665,1,0,0,1000000,0.01
59,9999.490000171856,0.5200000000000002,5.199994799915837e-05,0.9999480000520008,1.0,28,59,2.6666666666666665,1,0,0,1000000,0.01
60,0.0,10000.010000171857,1.0,0.0,1.0,28,60,2.6666666666666665,1,0,0,1000000,0.01
61,0.0,10000.010000171857,1.0,0.0,1.0,28,61,2.6666666666666665,1,0,0,1000000,0.01
62,0.0,10000.010000171857,1.0,0.0,1.0,28,62,2.6666666666666665,1,0,0,1000000,0.01
63,0.0,10000.010000171857,1.0,0.0,1.0,28,63,2.6666666666666665,1,0,0,1000000,0.01
64,0.0,10000.010000171857,1.0,0.0,1.0,28,64,2.6666666666666665,1,0,0,1000000,0.01
65,0.0,10000.010000171857,1.0,0.0,1.0,28,65,2.6666666666666665,1,0,0,1000000,0.01
66,0.0,10000.010000171857,1.0,0.0,1.0,28,66,2.6666666666666665,1,0,0,1000000,0.01
67,0.0,10000.010000171857,1.0,0.0,1.0,28,67,2.6666666666666665,1,0,0,1000000,0.01
68,0.0,10000.010000171857,1.0,0.0,1.0,28,68,2.6666666666666665,1,0,0,1000000,0.01
69,0.0,10000.010000171857,1.0,0.0,1.0,28,69,2.6666666666666665,1,0,0,1000000,0.01
70,0.0,10000.010000171857,1.0,0.0,1.0,28,70,2.6666666666666665,1,0,0,1000000,0.01
71,0.0,10000.010000171857,1.0,0.0,1.0,28,71,2.6666666666666665,1,0,0,1000000,0.01
72,0.0,10000.010000171857,1.0,0.0,1.0,28,72,2.6666666666666665,1,0,0,1000000,0.01
73,0.0,10000.010000171857,1.0,0.0,1.0,28,73,2.6666666666666665,1,0,0,1000000,0.01
74,0.0,10000.010000171857,1.0,0.0,1.0,28,74,2.6666666666666665,1,0,0,1000000,0.01
75,0.0,10000.010000171857,1.0,0.0,1.0,28,75,2.6666666666666665,1,0,0,1000000,0.01
76,0.0,10000.010000171857,1.0,0.0,1.0,28,76,2.6666666666666665,1,0,0,1000000,0.01
77,0.0,10000.010000171857,1.0,0.0,1.0,28,77,2.6666666666666665,1,0,0,1000000,0.01
78,0.0,10000.010000171857,1.0,0.0,1.0,28,78,2.6666666666666665,1,0,0,1000000,0.01
79,0.0,10000.010000171857,1.0,0.0,1.0,28,79,2.6666666666666665,1,0,0,1000000,0.01
80,0.0,10000.010000171857,1.0,0.0,1.0,28,80,2.6666666666666665,1,0,0,1000000,0.01
81,0.0,10000.010000171857,1.0,0.0,1.0,28,81,2.6666666666666665,1,0,0,1000000,0.01
82,0.0,10000.010000171857,1.0,0.0,1.0,28,82,2.6666666666666665,1,0,0,1000000,0.01
83,0.0,10000.010000171857,1.0,0.0,1.0,28,83,2.6666666666666665,1,0,0,1000000,0.01
84,0.0,10000.010000171857,1.0,0.0,1.0,28,84,2.6666666666666665,1,0,0,1000000,0.01
